PID,Name,Count
0,System Idle Process,1
4,System,1
88,,1
156,Registry,1
540,taskhostw.exe,2
724,aeagent.exe,1
728,smss.exe,1
768,LsaIso.exe,1
784,lsass.exe,1
816,csrss.exe,2
820,winlogon.exe,1
944,services.exe,1
996,csrss.exe,2
1004,wininit.exe,1
1052,svchost.exe,93
1104,svchost.exe,93
1124,svchost.exe,93
1144,svchost.exe,93
1148,WUDFHost.exe,4
1192,fontdrvhost.exe,2
1200,fontdrvhost.exe,2
1292,svchost.exe,93
1340,svchost.exe,93
1412,WUDFHost.exe,4
1540,dwm.exe,1
1556,Code.exe,12
1604,svchost.exe,93
1620,conhost.exe,12
1644,svchost.exe,93
1652,svchost.exe,93
1668,svchost.exe,93
1676,SgrmBroker.exe,1
1684,svchost.exe,93
1700,svchost.exe,93
1712,svchost.exe,93
1880,svchost.exe,93
1888,svchost.exe,93
1932,WUDFHost.exe,4
1948,svchost.exe,93
1988,svchost.exe,93
2068,svchost.exe,93
2180,Code.exe,12
2204,IntelCpHDCPSvc.exe,1
2224,svchost.exe,93
2284,svchost.exe,93
2332,svchost.exe,93
2340,svchost.exe,93
2356,svchost.exe,93
2372,svchost.exe,93
2400,msedge.exe,16
2464,svchost.exe,93
2676,svchost.exe,93
2752,svchost.exe,93
2760,UserOOBEBroker.exe,1
2784,svchost.exe,93
2796,svchost.exe,93
2824,WUDFHost.exe,4
2856,Code.exe,12
2996,svchost.exe,93
3032,svchost.exe,93
3164,svchost.exe,93
3172,svchost.exe,93
3184,svchost.exe,93
3192,svchost.exe,93
3208,svchost.exe,93
3220,slack.exe,6
3308,svchost.exe,93
3388,SenseNdr.exe,1
3404,MemCompression,1
3476,svchost.exe,93
3516,svchost.exe,93
3560,svchost.exe,93
3568,svchost.exe,93
3580,Code.exe,12
3588,msedge.exe,16
3720,msedge.exe,16
3788,svchost.exe,93
3856,python.exe,2
3868,Code.exe,12
3880,svchost.exe,93
3884,svchost.exe,93
3888,conhost.exe,12
3948,svchost.exe,93
4020,svchost.exe,93
4052,svchost.exe,93
4124,svchost.exe,93
4184,svchost.exe,93
4196,RstMwService.exe,1
4272,svchost.exe,93
4352,wlanext.exe,1
4364,conhost.exe,12
4424,spoolsv.exe,1
4456,WmiPrvSE.exe,5
4492,svchost.exe,93
4532,svchost.exe,93
4584,SearchApp.exe,2
4600,audiodg.exe,1
4628,svchost.exe,93
4704,svchost.exe,93
4720,svchost.exe,93
4728,ipf_helper.exe,1
4740,svchost.exe,93
4748,svchost.exe,93
4788,OneApp.IGCC.WinService.exe,1
4796,IntelAudioService.exe,1
4812,ipfsvc.exe,1
4828,ELANFPService.exe,1
4840,svchost.exe,93
4872,svchost.exe,93
4880,NgcIso.exe,1
4892,ipf_uf.exe,1
4924,jhi_service.exe,1
4932,svchost.exe,93
4968,mysqld.exe,2
4980,mongod.exe,1
4992,SMSvcHost.exe,1
5064,svchost.exe,93
5076,svchost.exe,93
5124,RtkAudUService64.exe,3
5140,TbtP2pShortcutService.exe,1
5172,MsSense.exe,1
5244,svchost.exe,93
5384,WMIRegistrationService.exe,1
5396,ZSAService.exe,1
5408,svchost.exe,93
5416,MsMpEng.exe,1
5428,msedgewebview2.exe,8
5432,powershell.exe,5
5508,conhost.exe,12
5512,svchost.exe,93
5580,SystemSettings.exe,1
5620,svchost.exe,93
5684,mysqld.exe,2
5712,conhost.exe,12
5720,svchost.exe,93
5792,SearchIndexer.exe,1
5932,RtkAudUService64.exe,3
6168,Code.exe,12
6700,QAAdminAgent.exe,1
6720,WmiPrvSE.exe,5
6748,BioIso.exe,1
6760,msedge.exe,16
7108,svchost.exe,93
7456,WmiPrvSE.exe,5
7492,svchost.exe,93
7500,powershell.exe,5
7516,conhost.exe,12
7636,svchost.exe,93
7732,RuntimeBroker.exe,9
7940,AggregatorHost.exe,1
8012,Code.exe,12
8096,CmRcService.exe,1
8416,msedge.exe,16
8448,keyacc32.exe,1
8484,SCNotification.exe,1
8536,AgentExecutor.exe,1
8580,svchost.exe,93
8604,DefendpointService.exe,1
8832,svchost.exe,93
8912,svchost.exe,93
9100,svchost.exe,93
9116,QAAgent.exe,1
9120,sihost.exe,1
9124,ZSATrayManager.exe,1
9132,ACCSvc.exe,1
9140,Code.exe,12
9156,Avecto.IC3.Client.Host.exe,1
9200,agentmonitor.exe,1
9268,svchost.exe,93
9304,kass.exe,1
9404,svchost.exe,93
9412,RuntimeBroker.exe,9
9480,taskhostw.exe,2
9540,Video.UI.exe,1
9656,dllhost.exe,2
9672,dasHost.exe,1
9708,explorer.exe,1
9752,conhost.exe,12
9876,pacjsworker.exe,1
9932,Code.exe,12
9984,svchost.exe,93
10096,unsecapp.exe,1
10144,ctfmon.exe,1
10180,powershell.exe,5
10408,ZSATray.exe,1
10564,ZSATunnel.exe,1
10568,ZSAUpm.exe,1
10644,Code.exe,12
10772,svchost.exe,93
10812,StartMenuExperienceHost.exe,1
10920,svchost.exe,93
10940,SenseCE.exe,1
11180,msedge.exe,16
11248,smartscreen.exe,1
11260,SenseTVM.exe,1
11416,svchost.exe,93
11476,RuntimeBroker.exe,9
11492,NisSrv.exe,1
11708,RuntimeBroker.exe,9
11744,Code.exe,12
12136,RuntimeBroker.exe,9
12176,msedgewebview2.exe,8
12252,PGSystemTray.exe,1
12340,conhost.exe,12
12604,conhost.exe,12
12656,svchost.exe,93
12724,conhost.exe,12
12836,svchost.exe,93
12876,msedge.exe,16
12928,SecurityHealthService.exe,1
13012,Code.exe,12
13044,cmd.exe,1
13052,svchost.exe,93
13108,TextInputHost.exe,1
13132,SecurityHealthSystray.exe,1
13232,RtkAudUService64.exe,3
13360,slack.exe,6
13476,RuntimeBroker.exe,9
13548,OneDrive.exe,1
13596,RuntimeBroker.exe,9
13636,msedge.exe,16
13728,svchost.exe,93
13856,msedgewebview2.exe,8
13916,PhoneExperienceHost.exe,1
13992,ApplicationFrameHost.exe,1
14096,svchost.exe,93
14224,dllhost.exe,2
14508,Microsoft.SharePoint.exe,1
14568,SenseIR.exe,1
14616,uhssvc.exe,1
14684,msedge.exe,16
14892,FileCoAuth.exe,1
14904,SearchApp.exe,2
14936,msedgewebview2.exe,8
14996,msedge.exe,16
15116,slack.exe,6
15200,msedge.exe,16
15308,RuntimeBroker.exe,9
15316,QASvc.exe,1
15620,WmiPrvSE.exe,5
15628,svchost.exe,93
15656,ms-teams.exe,1
15748,pwahelper.exe,1
15804,RuntimeBroker.exe,9
15856,msedgewebview2.exe,8
15868,msedge.exe,16
15984,conhost.exe,12
16100,msedgewebview2.exe,8
16380,msedgewebview2.exe,8
16592,svchost.exe,93
16636,msedge.exe,16
16652,CompPkgSrv.exe,1
16868,svchost.exe,93
16908,svchost.exe,93
16916,slack.exe,6
17100,msedge.exe,16
17132,slack.exe,6
17256,msedgewebview2.exe,8
17260,slack.exe,6
17644,powershell.exe,5
17656,conhost.exe,12
17680,powershell.exe,5
17836,svchost.exe,93
17888,Microsoft.Management.Services.IntuneWindowsAgent.exe,1
18072,msedge.exe,16
18124,CcmExec.exe,1
18152,WmiPrvSE.exe,5
18308,CalculatorApp.exe,1
18356,msedge.exe,16
18924,python.exe,2
18956,svchost.exe,93
19136,LockApp.exe,1
19256,svchost.exe,93
19372,svchost.exe,93
